path,status,owner,note,original_size,mobile_size,original_sha256,mobile_sha256
--y__InlineArray2.cs,MOD,unclassified,needs manual triage,229,207,71a324ab63c7efe847a125a3765e6942a467b5096bb354cb65abbe653ea0c8ac,7146364c57fba9e60c2a0647b47def4f1078a35740c092af5a87e27b5cbf1587
--y__InlineArray2.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,72bc1f59f523b13e5c4c217634f0672e336dd242e91d0e2d1409d226d2dfcc4d
--y__InlineArray3.cs,MOD,unclassified,needs manual triage,229,207,c43cc5edc495b269118a098d83d17f904751c430487e5cc1d1ab58cebed7dabb,deb9b83147163239d8bc8e651d2d7164ddedfa97b596ca93969544f7512ad3da
--y__InlineArray3.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,7834aecb09644b2c884173931a4ca758e8c4514b229a8f91356fec4bc1bc1929
--y__InlineArray4.cs,MOD,unclassified,needs manual triage,229,207,58ca05682dc4e77df75062858d23e9cf6453a13f80a9d1b1a60a2d1c3d576704,a19979a7faf7751a2d022f439d97e6b390023321970471e777e1680134da1310
--y__InlineArray4.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,c99c51bb385ce295398428bda6e0e1553412556c77c2b1305896ad6d396aa3f7
--y__InlineArray5.cs,MOD,unclassified,needs manual triage,229,207,a9b1ad4c26f7ae5312c9f6f9109dc0728d965c88586b74d8e51db39c294046d6,a967efb0f095b3f029f631fc3f6e3275fca46b15516550d7ca49adc613575304
--y__InlineArray5.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,72503747339cc62199405ebfd022389a3dc0335ff49a1f5aa15476b438866591
--z__ReadOnlyArray.cs,MOD,unclassified,needs manual triage,2756,2429,8a14e3a66a55c9a72989287078c98e132232a951d18a3f5e01df7d468423cee7,8f5cf956f0fdb70bf03344b29c699637568a0dce3f646a8a6217eb80727a6bc7
--z__ReadOnlyArray.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,93e9856142c37813885f8c1ed052e031e8ef863aad8f8ea3e2db208999ce28ee
--z__ReadOnlyList.cs,MOD,unclassified,needs manual triage,2711,2381,dcb17ff45e680b6fb4cda9191d8956c76037bc8ac495dda128c3ae90609b2edf,7c95e9c1b55a92636ec2aae53f1601daa2c7c2e3b73821174e69f30047f26f2a
--z__ReadOnlyList.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,2e6009f39c0a2f43d9bfbc77b72b627b44fa6cc71339dd5e3c5d5dc2af1ec5a1
--z__ReadOnlySingleElementList.cs,MOD,unclassified,needs manual triage,3616,3214,3ff97bc2c15559eba83f70e3416588dcdfa4cb63ee059a489d3d3a80d520b42d,9f143cf2b7d745f0d12d5bba07bcf223d2249e42837d65f8e6d1024ae92454da
--z__ReadOnlySingleElementList.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,19,,379fb11cb2cc9567d10135e0e7de0ed6b74c5672761a4795b9b4a94b37e90109
-PrivateImplementationDetails-.cs,ADD,unclassified,needs manual triage,,775,,9237c9669ca6038c956540465bfb7fbea77da4a7029460820cb6c298d1e5259c
-PrivateImplementationDetails-.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,8f1e6f1fa5da81599426e2f9e0f08baed483aadff8afb5fc0d32adf671859413
.autoconverted/addons/sentry/SentryInit.gdc,MOD,unclassified,needs manual triage,4440,3569,61b0dd29e19491443102fe8ea00a6eb24db271b526b793f5b1b06adbc0b1c5bb,a2af5bc45c19469da7799d8d7b7f9c8124a948b3db27c560ec333c79474848a4
.autoconverted/src/gdscript/testing/animation_tester.gdc,MOD,unclassified,needs manual triage,2431,2417,176ec287834d0ce007aa85010588abdb67ce7275911cff826ef01b4686165509,40da59b77a87e22f2f179b8a306852d0403f0a5b76981756580b8bfed09aa790
.gitignore,ADD,unclassified,needs manual triage,,1855,,17784a810cbcbe8f204bfa652414075e865e55f1ea3e87d0e533230d48ad2b83
.session.vim,ADD,unclassified,needs manual triage,,3265,,ae9b3e37026299c291e462581e0c97f2ef8f883b5ef98e926cd1ca47e2ba377b
.tools/dotnet-install.sh,ADD,unclassified,needs manual triage,,63488,,102a6849303713f15462bb28eb10593bf874bbeec17122e0522f10a3b57ce442
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Debug/GodotPlugins.dll,ADD,unclassified,needs manual triage,,12288,,0a2163ce7a85fc181a41e3a6bacea4b305adad1624bae7977acf405dc3b423b5
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Debug/GodotPlugins.pdb,ADD,unclassified,needs manual triage,,13556,,173f436892f8dd360dd2b480f8019cfd4d621b92bae008f224128dbfc42b4780
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Debug/GodotPlugins.runtimeconfig.json,ADD,unclassified,needs manual triage,,291,,f7ecefae96040c2437e1c98914954b211546391ed2bf6dfb8fa8836600ec1491
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Debug/GodotSharp.dll,ADD,unclassified,needs manual triage,,6025728,,75dc2b39cddea5db8410dbf3e7a387d842c8b959b01cfb05f411feb60bb26bbe
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Debug/GodotSharp.pdb,ADD,unclassified,needs manual triage,,5688956,,556cd5bfa891d60660afc9853fcb2a29fb02978e300f1da1adc67cb529bfb3f8
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Debug/GodotSharp.xml,ADD,unclassified,needs manual triage,,15229809,,f4ab4569f4da686bda80268e43a1a3e1299ebb8738447b70ce8010277ad4eefe
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Debug/GodotSharpEditor.dll,ADD,unclassified,needs manual triage,,304640,,03e2ab2fcc1c2b86de4f124233aaada12e49bc607b5a7bd0b6dda5346a0056a9
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Debug/GodotSharpEditor.pdb,ADD,unclassified,needs manual triage,,334484,,39a7bbf7beae799c5852d45b1795e92c92bbdd7bf4b073e84317f2db7e04197b
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Debug/GodotSharpEditor.xml,ADD,unclassified,needs manual triage,,731438,,4682845b7d05e200ef606740e5ce3b6ac942445613250e730e3d1806d1ea9967
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Release/GodotPlugins.dll,ADD,unclassified,needs manual triage,,11776,,bebebf4e6a6a1288f5e49e38809120ec8da30a8ee14b19b97ed03c445efaf78e
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Release/GodotPlugins.pdb,ADD,unclassified,needs manual triage,,12924,,67fc0f2b5eb1cbf67449e197a9fa948c81c0e5aeb994507f2fc781290b80fb93
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Release/GodotPlugins.runtimeconfig.json,ADD,unclassified,needs manual triage,,362,,163a87196bb2c5607973cbf99e6215bf4b2623dadedeb86e65bc465ce309b988
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Release/GodotSharp.dll,ADD,unclassified,needs manual triage,,5613568,,0e4897ecdfb31456a97c7d8028dfb8d7dbdc632e2f73fc9b438d7b266a139289
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Release/GodotSharp.pdb,ADD,unclassified,needs manual triage,,5134240,,b4f6a99fe8065f988a895eb8e55e1c25e88fb22cd9371b9a389165bfeea4b212
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Release/GodotSharp.xml,ADD,unclassified,needs manual triage,,15229809,,f4ab4569f4da686bda80268e43a1a3e1299ebb8738447b70ce8010277ad4eefe
